{'max_epoch': 10, 'train_batch_size': 2, 'last_iter': 0, 'finetune_lr': 5e-05, 'scratch_lr': 0.0005, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'gpu': '0,1', 'multi-GPUs': False, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

iter: 80, bce1: 0.7290595, bce2: 0.7150215, bce3: 0.7198695, hinge1: 1.9904625, hinge2: 1.9380785, hinge3: 2.1230465, cla: 2.2031585, lr: 0.0000008
iter: 81, bce1: 0.7288895, bce2: 0.7149725, bce3: 0.7200225, hinge1: 1.9969275, hinge2: 1.9447465, hinge3: 2.1270615, cla: 2.2089975, lr: 0.0000008
iter: 82, bce1: 0.7285865, bce2: 0.7152785, bce3: 0.7205505, hinge1: 1.9960905, hinge2: 1.9468225, hinge3: 2.1272275, cla: 2.1894915, lr: 0.0000008
iter: 83, bce1: 0.7281265, bce2: 0.7153795, bce3: 0.7196465, hinge1: 1.9956005, hinge2: 1.9507175, hinge3: 2.1231015, cla: 2.2047715, lr: 0.0000008
iter: 84, bce1: 0.7282665, bce2: 0.7159805, bce3: 0.7194435, hinge1: 1.9988455, hinge2: 1.9493625, hinge3: 2.1273265, cla: 2.1961185, lr: 0.0000008
iter: 85, bce1: 0.7286065, bce2: 0.7158875, bce3: 0.7193715, hinge1: 1.9955185, hinge2: 1.9448425, hinge3: 2.1298275, cla: 2.1918645, lr: 0.0000008
iter: 86, bce1: 0.7284385, bce2: 0.7158525, bce3: 0.7198535, hinge1: 1.9936195, hinge2: 1.9481955, hinge3: 2.1294255, cla: 2.1849735, lr: 0.0000008
iter: 87, bce1: 0.7282845, bce2: 0.7157665, bce3: 0.7188455, hinge1: 1.9936565, hinge2: 1.9482525, hinge3: 2.1233935, cla: 2.1866975, lr: 0.0000008
iter: 88, bce1: 0.7289135, bce2: 0.7160335, bce3: 0.7185645, hinge1: 1.9934075, hinge2: 1.9476345, hinge3: 2.1264355, cla: 2.1881575, lr: 0.0000008
iter: 89, bce1: 0.7290625, bce2: 0.7161735, bce3: 0.7185905, hinge1: 1.9885345, hinge2: 1.9431655, hinge3: 2.1300125, cla: 2.1997335, lr: 0.0000008
